"Station Name","VANCOUVER INTL A"
"Province","BRITISH COLUMBIA"
"Latitude","49.19"
"Longitude","-123.18"
"Elevation","4.30"
"Climate Identifier","1108395"
"WMO Identifier","71892"
"TC Identifier","YVR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"M","Missing"
"E","Estimated"
"NA","Not Available"
"**","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2013-11-02 03:00","2013","11","02","03:00","**","9.5","","8.6","","94","","9","","28","","12.9","","100.33","","","","","","Rain"
"2013-11-02 04:00","2013","11","02","04:00","**","9.6","","9.0","","96","","7","","17","","6.4","","100.16","","","","","","Heavy Rain"
"2013-11-02 05:00","2013","11","02","05:00","**","9.7","","8.9","","95","","9","","17","","16.1","","99.95","","","","","","Rain"
"2013-11-02 06:00","2013","11","02","06:00","**","8.9","","8.3","","96","","9","","19","","12.9","","99.83","","","","","","Rain"
"2013-11-02 07:00","2013","11","02","07:00","**","8.6","","7.5","","93","","8","","18","","8.1","","99.71","","","","","","Rain,Fog"
"2013-11-02 08:00","2013","11","02","08:00","**","7.7","","7.0","","95","","31","","23","","8.1","","99.67","","","","","","Moderate Rain,Fog"
"2013-11-02 09:00","2013","11","02","09:00","**","7.3","","6.3","","93","","31","","35","","4.8","","99.63","","","","","","Moderate Rain,Fog"
"2013-11-02 10:00","2013","11","02","10:00","**","7.7","","5.9","","88","","31","","32","","8.1","","99.70","","","","","","Rain,Fog"
"2013-11-02 11:00","2013","11","02","11:00","**","7.7","","6.0","","89","","30","","33","","6.4","","99.80","","","","","","Heavy Rain,Fog"
"2013-11-02 12:00","2013","11","02","12:00","**","7.8","","6.1","","89","","30","","32","","8.1","","99.95","","","","","","Moderate Rain,Fog"
"2013-11-02 13:00","2013","11","02","13:00","**","8.0","","6.9","","93","","29","","37","","8.1","","100.10","","","","","","Rain,Fog"
"2013-11-02 14:00","2013","11","02","14:00","**","7.6","","6.2","","91","","32","","23","","8.1","","100.21","","","","","","Rain,Fog"
"2013-11-02 15:00","2013","11","02","15:00","**","7.3","","5.6","","89","","32","","17","","12.9","","100.35","","","","","","Rain"
"2013-11-02 16:00","2013","11","02","16:00","**","7.2","","4.2","","81","","31","","26","","12.9","","100.50","","","","","","Rain"
"2013-11-02 17:00","2013","11","02","17:00","**","7.1","","4.1","","81","","31","","23","","12.9","","100.59","","","","","","Rain"
"2013-11-02 18:00","2013","11","02","18:00","**","6.7","","4.0","","83","","32","","26","","12.9","","100.68","","","","","","NA"
"2013-11-02 19:00","2013","11","02","19:00","**","6.6","","4.9","","89","","34","","10","","12.9","","100.79","","","","","","Rain"
"2013-11-02 20:00","2013","11","02","20:00","**","6.6","","5.1","","90","","33","","4","","24.1","","100.83","","","","","","NA"
"2013-11-02 21:00","2013","11","02","21:00","**","6.4","","4.9","","90","","16","","2","","24.1","","100.90","","","","","","NA"
"2013-11-02 22:00","2013","11","02","22:00","**","6.0","","5.0","","93","","7","","13","","24.1","","100.95","","","","","","Mostly Cloudy"
"2013-11-02 23:00","2013","11","02","23:00","**","5.0","","4.4","","96","","9","","11","","19.3","","101.05","","","","","","NA"
"2013-11-03 00:00","2013","11","03","00:00","**","3.9","","3.3","","96","","9","","5","","24.1","","101.14","","","","","","NA"
"2013-11-03 01:00","2013","11","03","01:00","**","3.6","","2.7","","94","","8","","3","","24.1","","101.24","","","","","","Mainly Clear"
"2013-11-03 02:00","2013","11","03","02:00","**","4.0","","3.1","","94","","3","","5","","24.1","","101.31","","","","","","NA"
"2013-11-03 03:00","2013","11","03","03:00","**","","M","","M","","M","4","","9","","24.1","","","M","","","","","NA"
"2013-11-03 04:00","2013","11","03","04:00","**","4.6","","3.3","","91","","35","","10","","24.1","","101.39","","","","","","Mainly Clear"
"2013-11-03 05:00","2013","11","03","05:00","**","3.1","","2.4","","95","","4","","9","","24.1","","101.47","","","","","","NA"
"2013-11-03 06:00","2013","11","03","06:00","**","2.7","","1.7","","93","","6","","7","","24.1","","101.49","","","","","","NA"
"2013-11-03 07:00","2013","11","03","07:00","**","2.2","","1.3","","94","","35","","5","","32.2","","101.54","","","","","","Mainly Clear"
"2013-11-03 08:00","2013","11","03","08:00","**","3.3","","1.7","","89","","11","","4","","48.3","","101.59","","","","","","NA"
"2013-11-03 09:00","2013","11","03","09:00","**","4.8","","2.7","","86","","9","","5","","48.3","","101.64","","","","","","NA"
"2013-11-03 10:00","2013","11","03","10:00","**","6.5","","3.1","","79","","11","","5","","48.3","","101.68","","","","","","Mainly Clear"
"2013-11-03 11:00","2013","11","03","11:00","**","7.4","","3.8","","78","","13","","5","","48.3","","101.73","","","","","","NA"
"2013-11-03 12:00","2013","11","03","12:00","**","8.2","","3.7","","73","","22","","4","","48.3","","101.71","","","","","","NA"
"2013-11-03 13:00","2013","11","03","13:00","**","8.1","","3.2","","71","","23","","10","","48.3","","101.73","","","","","","Mainly Clear"
"2013-11-03 14:00","2013","11","03","14:00","**","8.2","","3.3","","71","","27","","8","","48.3","","101.75","","","","","","NA"
"2013-11-03 15:00","2013","11","03","15:00","**","8.3","","3.8","","73","","30","","8","","48.3","","101.77","","","","","","NA"
"2013-11-03 16:00","2013","11","03","16:00","**","7.9","","4.0","","76","","29","","10","","48.3","","101.77","","","","","","Mainly Clear"
"2013-11-03 17:00","2013","11","03","17:00","**","6.2","","3.4","","82","","31","","6","","48.3","","101.74","","","","","","NA"
"2013-11-03 18:00","2013","11","03","18:00","**","6.3","","3.1","","80","","36","","3","","32.2","","101.77","","","","","","NA"
"2013-11-03 19:00","2013","11","03","19:00","**","4.5","","2.0","","84","","7","","9","","24.1","","101.81","","","","","","Mostly Cloudy"
"2013-11-03 20:00","2013","11","03","20:00","**","3.0","","0.4","","83","","12","","5","","24.1","","101.82","","","","","","NA"
"2013-11-03 21:00","2013","11","03","21:00","**","3.8","","1.0","","82","","6","","10","","24.1","","101.86","","","","","","NA"
"2013-11-03 22:00","2013","11","03","22:00","**","3.5","","0.9","","83","","5","","9","","24.1","","101.91","","","","","","Clear"
"2013-11-03 23:00","2013","11","03","23:00","**","2.8","","0.0","","82","","9","","6","","24.1","","101.93","","","","","","NA"
"2013-11-04 00:00","2013","11","04","00:00","**","2.1","","-0.2","","85","","7","","9","","24.1","","101.98","","","","","","NA"
"2013-11-04 01:00","2013","11","04","01:00","**","1.7","","-0.6","","85","","9","","5","","24.1","","102.02","","","","","","Mainly Clear"
"2013-11-04 02:00","2013","11","04","02:00","**","0.5","","-0.8","","91","","34","","5","","24.1","","102.05","","","","","","NA"
"2013-11-04 03:00","2013","11","04","03:00","**","0.9","","-0.7","","89","","31","","3","","24.1","","102.05","","","","","","NA"
"2013-11-04 04:00","2013","11","04","04:00","**","2.0","","-1.3","","79","","5","","6","","24.1","","102.10","","","","","","Clear"
"2013-11-04 05:00","2013","11","04","05:00","**","0.6","","-1.6","","85","","8","","8","","24.1","","102.13","","","","","","NA"
"2013-11-04 06:00","2013","11","04","06:00","**","-0.5","","-1.6","","92","","9","","9","","24.1","","102.15","","","","-4","","NA"
"2013-11-04 07:00","2013","11","04","07:00","**","0.9","","-1.0","","87","","9","","5","","32.2","","102.17","","","","","","Mainly Clear"
"2013-11-04 08:00","2013","11","04","08:00","**","1.6","","-0.2","","88","","9","","8","","32.2","","102.19","","","","","","NA"
"2013-11-04 09:00","2013","11","04","09:00","**","4.0","","0.9","","80","","8","","8","","32.2","","102.22","","","","","","NA"
"2013-11-04 10:00","2013","11","04","10:00","**","5.8","","0.6","","69","","11","","7","","32.2","","102.24","","","","","","Mainly Clear"
